t,x
0,100
0.00050238,95.1
0.0010048,90.441
0.0015071,86.009
0.0020095,81.795
0.0040635,66.588
0.0061175,54.211
0.0081714,44.161
0.010225,35.979
0.012186,29.565
0.014147,24.296
0.016108,19.975
0.018069,16.424
0.020036,13.489
0.022002,11.079
0.023968,9.1041
0.025934,7.4818
0.0279,6.1451
0.029866,5.0474
0.031832,4.1476
0.033798,3.4086
0.035764,2.7996
0.03773,2.2995
0.039696,1.8896
0.041662,1.553
0.043628,1.2755
0.045594,1.0477
0.04756,0.8609
0.049526,0.70751
0.051492,0.5811
0.053457,0.4773
0.055423,0.39222
0.057389,0.32234
0.059355,0.26475
0.061321,0.21745
0.063287,0.17869
0.065253,0.14685
0.067219,0.12062
0.069185,0.09907
0.071151,0.08141
0.073117,0.066905
0.075083,0.054952
0.077049,0.045135
0.079015,0.03709
0.080981,0.030481
0.082947,0.025035
0.084913,0.020563
0.086878,0.016898
0.088844,0.013887
0.09081,0.011406
0.092776,0.0093685
0.094742,0.0076985
0.096708,0.0063268
0.098674,0.0051964
0.10064,0.0042682
0.10261,0.0035074
0.10457,0.0028824
0.10654,0.0023675
0.1085,0.0019446
0.11047,0.0015979
0.11244,0.0013132
0.1144,0.0010786
0.11637,0.00088592
0.11833,0.000728
0.1203,0.00059829
0.12227,0.0004914
0.12423,0.00040362
0.1262,0.00033167
0.12816,0.00027258
0.13034,0.00021912
0.13252,0.00017616
0.1347,0.00014175
0.13688,0.00011408
0.13941,8.8455e-05
0.14195,6.8591e-05
0.14448,5.3305e-05
0.14701,4.1454e-05
0.15,3.0671e-05
0.15299,2.2693e-05
0.15597,1.6897e-05
0.15896,1.2611e-05
0.16257,8.7163e-06
0.16618,6.0183e-06
0.1698,4.2505e-06
0.17341,3.0336e-06
0.17791,1.8702e-06
0.18242,1.1411e-06
0.18693,7.7632e-07
0.19143,5.593e-07
0.19729,2.5643e-07
0.20315,9.6366e-08
0.20901,9.6813e-08
0.21487,1.1249e-07
0.22282,-2.0271e-08
0.23077,-7.2161e-08
0.23872,2.3836e-08
0.24668,8.9167e-08
0.25714,-2.8128e-07
0.26761,-3.8669e-07
0.27808,1.1679e-07
0.28855,3.9293e-07
0.29631,-3.2855e-08
0.30407,-2.0391e-07
0.31183,7.5623e-08
0.31959,2.7004e-07
0.32735,-2.2579e-08
0.33512,-1.4013e-07
0.34288,5.1971e-08
0.35064,1.8558e-07
0.35946,-1.459e-07
0.36828,-2.6089e-07
0.3771,6.9819e-08
0.38592,2.7686e-07
0.39523,-3.5395e-07
0.40453,-5.5965e-07
0.41383,1.5025e-07
0.42314,5.7696e-07
0.43164,-3.0625e-07
0.44015,-6.2578e-07
0.44866,1.7303e-07
0.45716,6.8742e-07
0.46463,3.236e-08
0.47209,-2.425e-07
0.47955,1.1745e-07
0.48701,3.7766e-07
0.49438,3.2174e-08
0.50174,-1.149e-07
0.50911,6.2623e-08
0.51647,1.9281e-07
0.52479,-7.6894e-08
0.53311,-1.7702e-07
0.54143,5.0918e-08
0.54974,2.0033e-07
0.55907,-2.6165e-07
0.5684,-4.1185e-07
0.57773,1.1071e-07
0.58705,4.2421e-07
0.59612,-4.3468e-07
0.60519,-7.2309e-07
0.61427,1.9265e-07
0.62334,7.5382e-07
0.63118,-9.4357e-08
0.63903,-4.3096e-07
0.64688,1.5115e-07
0.65472,5.5202e-07
0.66189,8.4794e-08
0.66906,-1.1982e-07
0.67624,8.7506e-08
0.68341,2.4444e-07
