t,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0.1,1.0491,1.1451,0.99379,0.005311,1.8479,-0.43759,-4.9757,-2.2404,0.32203,0.70007,0.90038,1.036,0,0,0,0
0.2,1.0089,1.3538,0.94145,-0.76281,2.2379,-0.58988,-5.0733,-2.9558,-0.13559,0.18757,0.63786,1.0362,0,0,0,0
0.3,0.90648,1.5768,0.87777,-1.2371,2.1542,-0.67596,-3.5234,-2.6489,-0.43533,-0.22977,0.36662,1.0127,0,0,0,0
0.4,0.77016,1.7737,0.80774,-1.451,1.7437,-0.7179,-1.8458,-2.0133,-0.62342,-0.48579,0.14429,0.97402,0,0,0,0
0.5,0.6228,1.92,0.73542,-1.4695,1.166,-0.72319,-0.51729,-1.3544,-0.73292,-0.5973,-0.015227,0.9263,0,0,0,0
0.6,0.48056,2.0056,0.664,-1.3588,0.54754,-0.70132,0.37781,-0.79269,-0.7876,-0.60332,-0.11659,0.87371,0,0,0,0
0.7,0.35345,2.031,0.59576,-1.1751,-0.027558,-0.66133,0.89308,-0.36252,-0.8046,-0.54284,-0.17106,0.81919,0,0,0,0
0.8,0.24656,2.0031,0.53209,-0.96049,-0.51154,-0.61067,1.1196,-0.059673,-0.79625,-0.44748,-0.19099,0.76471,0,0,0,0
0.9,0.16139,1.9324,0.47378,-0.74457,-0.88433,-0.5551,1.1475,0.13525,-0.77139,-0.34017,-0.18751,0.71159,0,0,0,0
1,0.097062,1.83,0.4211,-0.54589,-1.1447,-0.49872,1.0523,0.24578,-0.73633,-0.23604,-0.16967,0.66065,0,0,0,0
1.1,0.051289,1.7069,0.37397,-0.37463,-1.3031,-0.4443,0.89157,0.29444,-0.69551,-0.14393,-0.14434,0.61238,0,0,0,0
1.2,0.021082,1.5723,0.33212,-0.23487,-1.3759,-0.39353,0.70641,0.3006,-0.65201,-0.068063,-0.11642,0.56702,0,0,0,0
1.3,0.003265,1.4339,0.29511,-0.12655,-1.3815,-0.34732,0.52378,0.27981,-0.60793,-0.0094761,-0.089169,0.52465,0,0,0,0
1.4,-0.0051915,1.2976,0.26249,-0.047079,-1.338,-0.30601,0.35971,0.24395,-0.56465,0.032815,-0.064568,0.48525,0,0,0,0
1.5,-0.0069794,1.1674,0.23375,0.0075526,-1.2613,-0.26956,0.22215,0.20158,-0.52304,0.060917,-0.043629,0.44873,0,0,0,0
1.6,-0.0043579,1.046,0.20842,0.041878,-1.1648,-0.23769,0.11347,0.15857,-0.48362,0.077422,-0.02669,0.41494,0,0,0,0
1.7,0.0008698,0.93476,0.18607,0.060401,-1.059,-0.20998,0.032452,0.11862,-0.44666,0.084979,-0.013641,0.38372,0,0,0,0
1.8,0.0073338,0.83425,0.1663,0.067247,-0.95153,-0.18596,-0.024137,0.083773,-0.41223,0.086027,-0.0041004,0.35491,0,0,0,0
1.9,0.014049,0.74433,0.14877,0.065971,-0.84775,-0.16514,-0.060482,0.054923,-0.38033,0.082663,0.0024497,0.32832,0,0,0,0
2,0.020355,0.66446,0.13319,0.059483,-0.75101,-0.14706,-0.080953,0.032144,-0.35087,0.07658,0.0065745,0.30378,0,0,0,0
2.1,0.025849,0.59383,0.11929,0.05006,-0.66316,-0.1313,-0.089641,0.015003,-0.32371,0.069079,0.0088225,0.28115,0,0,0,0
2.2,0.030326,0.53151,0.10686,0.039392,-0.58488,-0.11751,-0.090098,0.0027835,-0.29872,0.0611,0.0096885,0.26027,0,0,0,0
2.3,0.033726,0.47654,0.095728,0.028669,-0.51609,-0.10538,-0.085236,-0.0053548,-0.27572,0.053283,0.0095948,0.241,0,0,0,0
2.4,0.036084,0.428,0.085738,0.018667,-0.45621,-0.094641,-0.077315,-0.010261,-0.25456,0.046025,0.0088847,0.22321,0,0,0,0
2.5,0.037499,0.38503,0.07676,0.0098406,-0.40438,-0.085087,-0.067999,-0.012727,-0.2351,0.039538,0.0078247,0.20678,0,0,0,0
2.6,0.038099,0.34689,0.068687,0.0023998,-0.35962,-0.076544,-0.058442,-0.013441,-0.21719,0.033902,0.0066119,0.1916,0,0,0,0
2.7,0.038026,0.3129,0.061422,-0.0036149,-0.32093,-0.068876,-0.049385,-0.012977,-0.2007,0.029109,0.005384,0.17758,0,0,0,0
2.8,0.037421,0.28253,0.054886,-0.008276,-0.2874,-0.06197,-0.041251,-0.011792,-0.18551,0.025096,0.0042306,0.16462,0,0,0,0
2.9,0.036411,0.25528,0.049006,-0.011724,-0.25819,-0.055735,-0.034231,-0.010229,-0.17152,0.02177,0.0032039,0.15263,0,0,0,0
3,0.035111,0.23077,0.043719,-0.014131,-0.23258,-0.050099,-0.028359,-0.0085356,-0.15862,0.019027,0.0023279,0.14155,0,0,0,0
3.1,0.033614,0.20866,0.038969,-0.01568,-0.20998,-0.044999,-0.023567,-0.0068806,-0.14673,0.016765,0.0016073,0.1313,0,0,0,0
3.2,0.031998,0.18869,0.034703,-0.016545,-0.18988,-0.040384,-0.019731,-0.0053672,-0.13575,0.01489,0.001034,0.12182,0,0,0,0
3.3,0.030322,0.17062,0.030877,-0.016884,-0.17191,-0.036211,-0.016704,-0.0040508,-0.12563,0.013322,0.00059243,0.11305,0,0,0,0
3.4,0.028634,0.15425,0.027448,-0.016834,-0.15575,-0.032439,-0.014336,-0.0029519,-0.11629,0.011994,0.00026326,0.10493,0,0,0,0
3.5,0.026965,0.13942,0.024377,-0.016505,-0.14115,-0.029034,-0.012485,-0.0020673,-0.10766,0.010851,2.645e-05,0.09741,0,0,0,0
3.6,0.025339,0.12597,0.02163,-0.015989,-0.12791,-0.025963,-0.011031,-0.0013792,-0.099698,0.0098521,-0.00013711,0.090449,0,0,0,0
3.7,0.023771,0.11379,0.019174,-0.015354,-0.11589,-0.023197,-0.0098714,-0.00086166,-0.092343,0.0089659,-0.00024453,0.084002,0,0,0,0
3.8,0.02227,0.10276,0.016981,-0.014652,-0.10495,-0.020709,-0.0089264,-0.00048602,-0.08555,0.0081693,-0.00031034,0.078029,0,0,0,0
3.9,0.020842,0.092769,0.015024,-0.013919,-0.095003,-0.018475,-0.0081344,-0.00022382,-0.079274,0.0074461,-0.00034646,0.072496,0,0,0,0
4,0.019487,0.083729,0.013279,-0.013182,-0.085948,-0.016469,-0.0074507,-4.8966e-05,-0.073475,0.0067847,-0.00036223,0.067367,0,0,0,0
4.1,0.018205,0.075552,0.011723,-0.012456,-0.077714,-0.014671,-0.0068434,6.1102e-05,-0.068116,0.0061773,-0.00036473,0.062613,0,0,0,0
4.2,0.016995,0.068161,0.010338,-0.011752,-0.070232,-0.013061,-0.0062915,0.00012506,-0.063161,0.0056181,-0.00035911,0.058205,0,0,0,0
4.3,0.015854,0.061483,0.0091053,-0.011076,-0.06344,-0.011621,-0.0057813,0.0001577,-0.058581,0.0051033,-0.00034897,0.054117,0,0,0,0
4.4,0.014779,0.055452,0.0080089,-0.01043,-0.057282,-0.010332,-0.0053049,0.0001703,-0.054344,0.0046298,-0.00033669,0.050324,0,0,0,0
