t,xd,yd,zd,ud,vd,wd,pd,qd,rd,phid,thetad,psid,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.00284,0.47986,0.00607,0.09868
0.01111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99633,1.01365,1.00977,0.89623,1.09668,0.94916,0.76338,0.83404,0.99526,1.00863,1.00919,1.00673,0.00197,0.43446,0.00513,0.09484
0.02345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99055,1.02836,1.02005,0.78030,1.20472,0.89479,0.50538,0.64705,0.98999,1.01559,1.01750,1.01418,0.00134,0.37456,0.00437,0.09236
0.03456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98379,1.04116,1.02878,0.67554,1.30228,0.84779,0.27807,0.47652,0.98524,1.01949,1.02321,1.02085,0.00096,0.32627,0.00383,0.08933
0.04567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97557,1.05353,1.03706,0.57059,1.39990,0.80257,0.05575,0.30471,0.98051,1.02121,1.02725,1.02748,0.00073,0.27992,0.00331,0.08525
0.05679,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96588,1.06545,1.04489,0.46559,1.49737,0.75921,-0.1612,0.13172,0.97578,1.02082,1.02960,1.03409,0.00055,0.23257,0.00299,0.08299
0.06790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95475,1.07689,1.05229,0.36073,1.59450,0.71767,-0.3725,-0.0413,0.97107,1.01835,1.03025,1.04066,0.00042,0.19110,0.00276,0.08299
0.07790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94350,1.08677,1.05861,0.26661,1.68145,0.68095,-0.5576,-0.1970,0.96684,1.01439,1.02938,1.04654,0.00034,0.15649,0.00256,0.07971
0.08790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93108,1.09624,1.06459,0.17286,1.76781,0.64544,-0.7377,-0.3516,0.96262,1.00885,1.02715,1.05241,0.00028,0.12797,0.00247,0.07654
0.09790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91753,1.10528,1.07026,0.07961,1.85343,0.61103,-0.9126,-0.5049,0.95842,1.00176,1.02357,1.05824,0.00022,0.10132,0.00238,0.07500
0.10790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.90284,1.11389,1.07563,-0.0130,1.93820,0.57744,-1.0821,-0.6560,0.95424,0.99317,1.01866,1.06405,0.00019,0.08188,0.00231,0.07349
0.11790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88704,1.12206,1.08069,-0.1049,2.02197,0.54489,-1.2460,-0.8045,0.95007,0.98313,1.01243,1.06984,0.00015,0.06368,0.00231,0.07201
0.12790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87013,1.12976,1.08547,-0.1960,2.10463,0.51325,-1.4042,-0.9499,0.94592,0.97169,1.00492,1.07560,0.00013,0.04931,0.00233,0.07104
0.13690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.85399,1.13630,1.08953,-0.2771,2.17797,0.48593,-1.5416,-1.0779,0.94220,0.96022,0.99709,1.08076,0.00011,0.04111,0.00237,0.06913
0.14590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.83699,1.14245,1.09337,-0.3574,2.25021,0.45921,-1.6742,-1.2027,0.93850,0.94770,0.98826,1.08590,0.00010,0.03303,0.00242,0.06727
0.15490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.81914,1.14821,1.09699,-0.4367,2.32129,0.43326,-1.8019,-1.3243,0.93482,0.93416,0.97846,1.09102,0.00009,0.02631,0.00245,0.06635
0.16390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80046,1.15357,1.10041,-0.5151,2.39112,0.40794,-1.9246,-1.4423,0.93115,0.91964,0.96773,1.09612,0.00008,0.02138,0.00253,0.06456
