epoch,mse
0, 7856.3602011037
5, 7237.099683262148
10, 6183.732399295656
15, 5989.824593070928
20, 5455.56839254755
25, 5465.103446011323
30, 5114.805342709359
35, 4802.56804858939
40, 4775.347391169457
45, 4620.150614344024
50, 4600.491538732011
55, 4385.575990299863
60, 4327.908038155483
65, 4162.368186922983
70, 4100.515140813241
75, 4003.3002841953785
80, 4034.741674328165
85, 3777.0159430830154
90, 3709.5816362528412
95, 3705.1824091359995
100, 3609.727134928523
105, 3356.1023653682673
110, 3609.889132452465
115, 3288.2735354120455
120, 3070.5339066472675
125, 3288.351006448259
130, 3228.4310318291678
135, 3113.122355923981
140, 3151.494635068091
145, 2958.281795103827
150, 3140.698926124076
155, 2828.2479101686154
160, 2898.6462131114768
165, 2748.919354952954
170, 2634.326637881936
175, 2748.3100219607927
180, 2595.905485690166
185, 2331.423937763049
190, 2720.060305542359
195, 2735.229995703272
200, 2467.17474453445
205, 2362.0019799206925
210, 2407.084774899016
215, 2595.624609536539
220, 2222.60148953404
225, 2270.5569988325824
230, 2259.5212759995784
235, 2488.696799071379
240, 2553.377761859644
245, 2219.6948972195705
250, 2100.273117848203
255, 2064.5082485119788
260, 2053.2593710305255
265, 2042.5506100985717
270, 2128.806528602441
275, 1864.553618377689
280, 1982.1574552047778
285, 1914.3937619706412
290, 2202.4709294499467
295, 1980.3057919209573
300, 2152.069655606761
305, 1781.1418258048784
310, 1865.4442107564382
315, 2150.2279661000457
320, 1701.2570097107155
325, 2019.9921443129547
330, 1920.4177827604744
335, 1762.9005135637235
340, 2055.9627265371573
345, 1733.1340133912388
350, 2174.1123766571272
355, 2168.616776977475
360, 1973.249480452835
365, 2124.6573092131885
370, 1975.366831918689
375, 1856.8236987228202
380, 1898.6871143604326
385, 1701.0426163589573
390, 1912.4938297165177
395, 1949.4226839978887
400, 1805.1579933558337
405, 1930.8238698122582
410, 1720.1298208732867
415, 1570.7984948804751
420, 1566.384879278035
425, 1912.8424034571258
430, 1788.078571857357
435, 1508.9993899775588
440, 1834.2980352243844
445, 1520.9725691271217
450, 1606.3574410802266
455, 1748.0319696655683
460, 1734.858296003334
465, 1801.6761731543593
470, 1597.9298598407097
475, 1781.1998665482342
480, 1414.3547790894418
485, 1815.331176949214
490, 1783.1425405018215
495, 1689.350858306108
500, 1683.1769857590357
505, 1374.8532312832094
510, 1362.9006758943938
515, 1335.367493972187
520, 1793.174402374977
525, 1461.5871696607849
530, 1304.1945585390363
535, 1463.4645734359904
540, 1482.7656768733607
545, 1446.862126777954
550, 1467.4683501016168
555, 1363.9104126936231
560, 1522.5239108847973
565, 1296.1900370420985
570, 1674.828169421923
575, 1715.0049823926386
580, 1597.9919822982579
585, 1682.020202828452
590, 1662.893249225826
595, 1250.3681715981952
600, 1307.8754218040622
605, 1271.9875957772863
610, 1338.5043790006735
615, 1245.833137616556
620, 1449.8702336437418
625, 1221.510093562294
630, 1199.6840993620306
635, 1596.7545089610503
640, 1411.3353439725686
645, 1234.1005642661485
650, 1384.5201411975795
655, 1573.4912090900536
660, 1409.3945011467265
665, 1369.7279251432997
670, 1266.955642275718
675, 1058.0318756435456
680, 1286.8352255041
685, 1500.792096828679
690, 1472.870934214527
695, 1109.4072957805106
700, 1446.1327786958964
705, 1540.0357658282737
710, 1224.6720378973669
715, 1291.4258724607814
720, 1250.300195378467
725, 1519.6197590519237
730, 1163.9946098984478
735, 1166.2070445349186
740, 1043.279468233524
745, 1368.7824438698585
750, 1395.1892501754094
755, 1137.4610521113614
760, 1415.9094314190224
765, 1257.9027228115783
770, 1394.5231239330565
775, 1290.507649597073
780, 1268.1446180633413
785, 1245.4355758792074
790, 1340.9448788925454
795, 1446.6403149466328
800, 1290.8081692400024
805, 1077.866751101927
810, 1064.0005019943305
815, 1298.8826980590395
820, 1001.1789363716565
825, 995.4049783550577
830, 1324.8470293553028
835, 1056.1958012761527
840, 1154.5544414045867
845, 1061.832489312938
850, 1461.029619555017
855, 1004.183091964748
860, 972.6420135020392
865, 1225.8435249689082
870, 1388.1828116145346
875, 1276.5438615358885
880, 1182.5325042051072
885, 1031.4650837943402
890, 1364.6243521953875
895, 944.5258332857136
900, 1336.1453078282357
905, 1180.3754108794967
910, 997.903959377606
915, 1292.5915005741715
920, 1072.5929403902107
925, 1244.3863420447935
930, 1054.024076171465
935, 1228.3496715901995
940, 975.1935303719033
945, 975.4225031962278
950, 1135.2053496921728
955, 1119.255138929775
960, 918.5300289897732
965, 1173.5854449627373
970, 1073.4942186149121
975, 1234.6551392727679
980, 997.9208440042809
985, 1224.7762211575448
990, 1072.0984641302518
995, 808.2059856475016
1000, 1003.0732556128522
